Time,Day_Of_Year,TT_16,PYNM_02,TT_11,FT_02,Wind_Velocity,HG_ARRAY_02
9/10/17,253,null,214.8880597,59.39241294,19.28971675,35.5,1598.33874
9/11/17,254,null,189.9333333,53.71666667,19.225,35.5,1222.361
9/12/17,255,null,null,null,null,null,null
9/13/17,256,null,null,null,null,null,null
9/14/17,257,null,96.169219,53.57643312,19.1763245,35.5,3250.427007
9/15/17,258,null,141.277743,51.29538131,19.22147002,35.5,2619.896205
9/16/17,259,null,0.369346216,41.27884615,null,35.5,null
9/17/17,260,null,null,null,null,null,null
9/18/17,261,null,77.97882933,47.58394834,19.11201299,null,3947.057597
9/19/17,262,null,90.42162722,51.83945498,18.95811574,null,3185.809257
9/20/17,263,null,109.3868011,53.04532374,18.92825107,null,3142.004482
9/21/17,264,null,150.8262506,52.37575301,17.88452549,null,2433.118706
9/22/17,265,null,4.465026239,41.25439883,16.475,null,1584.479
9/23/17,266,null,2.078335075,33.32083333,null,null,null
9/24/17,267,null,147.1023209,60.2228164,19.05063291,35.84166667,3379.843033
9/25/17,268,null,115.3108149,57.08197832,19.01276002,null,3335.671023
9/26/17,269,null,111.7838594,54.52992958,19.0623823,null,3271.339353
9/27/17,270,null,94.10121875,39.15044014,0.067164104,null,4396.358658
9/28/17,271,null,84.57461784,37.72059859,0.001529469,null,0.183823529
9/29/17,272,null,63.92570391,31.44345238,0.001083374,null,0.124
9/30/17,273,null,1.637569305,35.29538799,null,null,null
10/1/17,274,null,85.36645253,37.03677511,0.001274558,null,0.195
10/2/17,275,null,92.29802067,36.24022887,0.001365993,null,0.177391304
10/3/17,276,null,94.96764575,36.52167019,0.001083374,null,0.1209
10/4/17,277,null,85.22938843,36.94964789,0.001354218,null,0.191416667
10/5/17,278,null,85.78505978,55.00061175,18.1379032,null,3338.700833
10/6/17,279,null,null,null,null,null,null
10/7/17,280,null,33.29171007,58.31909283,18.925,null,2436.6147
10/8/17,281,null,0.403118428,41.64797794,null,null,null
10/9/17,282,null,118.2150101,49.68014129,18.77920082,null,2477.908528
10/10/17,283,36.87609329,124.4149038,48.23429693,18.81665827,null,2488.527453
10/11/17,284,40.0840669,141.4051822,47.53785211,18.80241293,4.978181818,2963.157384
10/12/17,285,44.38450704,155.836147,50.69053483,18.83330588,5.240833333,1987.4646
10/13/17,286,44.82327892,177.1637034,52.81631747,18.82608154,4.850142857,2389.064284
10/14/17,287,44.97361013,190.8845587,53.69669247,18.89267999,3.480983607,3023.979844
10/15/17,288,46.14450128,367.6550725,49.63313296,18.87171053,5.077157895,2940.025536
10/16/17,289,39.01694095,350.8066914,44.70118066,18.82374292,4.964893617,2816.833098
10/17/17,290,39.79231449,333.7863777,47.16978799,18.82909226,4.807307692,2569.055993
10/18/17,291,40.24674754,404.0524781,48.17158931,18.88701923,3.877291667,2811.950947
10/19/17,292,36.18239796,380.8703704,42.32302296,18.84058989,3.376923077,2357.814628
10/20/17,293,null,null,null,null,null,null
10/21/17,294,null,null,null,null,null,null
10/22/17,295,33.8186849,273.1694915,38.83648003,18.79571429,4.792692308,2127.941422
10/23/17,296,41.24727113,358.8225141,49.25519366,18.80837419,5.7234375,2497.076932
10/24/17,297,44.89702155,189.7887216,51.60313688,18.75733061,4.516041667,2548.970594
10/25/17,298,26.52997835,230.2897917,34.24935065,null,3.57875,null
10/26/17,299,35.82899367,192.5378982,41.26345883,18.65767678,4.158125,2286.545987
10/27/17,300,37.80659204,175.2457287,41.70113717,18.76486811,3.6640625,2434.749493
10/28/17,301,36.06587358,149.5478364,42.48466312,18.7444127,3.867912088,2280.511415
10/29/17,302,33.58251232,116.7590423,40.30550669,18.78282493,4.089166667,2187.117459
10/30/17,303,33.90385292,143.1466208,40.24894441,18.69591808,3.468125,2282.356117
10/31/17,304,31.97739268,118.4267298,38.11655524,18.65715843,3.4265625,1966.332685
11/1/17,305,36.61725897,128.3112709,44.28712175,18.69628654,3.613125,2163.988275
11/2/17,306,30.45135468,76.59856854,36.341133,18.545,3.42375,1824.363723
11/3/17,307,31.93710415,133.9876317,37.83814215,18.60089286,3.3325,2120.262136
11/4/17,308,32.15728228,95.99045928,38.8887012,18.6735,3.442413793,1842.604914
11/5/17,309,34.57992958,86.99764094,36.77808099,18.66691176,3.59375,2018.874967
11/6/17,310,29.85941952,64.85189041,33.71875,18.6745621,3.35875,1739.435437
11/7/17,311,20.25913462,45.659375,25.54278846,18.64673913,3.603578947,1118.358857
11/8/17,312,36.74002602,195.2912588,44.09854727,18.70485605,3.408125,2218.451411
11/9/17,313,33.67716397,98.24577507,40.68798381,18.52358875,3.275520833,2039.087917
11/10/17,314,32.68367347,107.7508814,39.59465165,18.58300183,3.4284375,2177.938941
11/11/17,315,32.78389085,87.49672009,41.42455986,18.66990526,3.643020833,2266.73721
11/12/17,316,33.34383803,101.9873109,41.89465797,18.67369186,4.6559375,2008.966244
11/13/17,317,31.67077465,69.35016389,38.63496121,18.68020887,6.2675,1954.310268
11/14/17,318,16.44722027,10.39467211,19.19634061,null,6.696770833,null
11/15/17,319,27.71248241,124.7976021,33.00806025,18.65120624,3.380210526,1861.366119
11/16/17,320,30.69262124,78.81905755,37.2373431,18.43452381,4.8025,1662.113697
11/17/17,321,35.84385996,153.928292,43.14250528,18.74275,3.503636364,2217.107805
11/18/17,322,33.46009142,191.3014965,42.14539381,18.63376913,4.580625,2512.981844
11/19/17,323,33.50035236,182.3034569,36.48176533,18.56921731,5.277083333,2692.619853
11/20/17,324,30.7434905,178.6001259,36.79429099,13.86800192,5.012395833,2033.376707
11/21/17,325,31.74012158,143.6324151,39.69410646,18.7117737,5.694606742,2352.872347
11/22/17,326,32.80933099,188.7846506,40.63327465,18.72250791,3.955888889,2702.602761
11/23/17,327,32.03716573,190.8365599,39.58295215,18.74422122,4.831875,2573.263381
11/24/17,328,34.57477129,194.538415,43.0848874,18.76125813,3.685,2635.589326
11/25/17,329,30.78424296,173.8439459,37.47931338,18.7808689,4.365625,2346.334115
11/26/17,330,31.6244722,170.3365961,39.2570373,18.74944887,4.843125,2564.649772
11/27/17,331,31.79934905,184.7864523,39.0984342,18.79937351,3.416875,2614.446974
11/28/17,332,32.05382923,155.8028982,39.13591549,18.84352078,3.478125,2414.436198
11/29/17,333,35.28071043,161.532173,43.55845324,18.80766455,4.555,2389.935173
11/30/17,334,32.36263636,195.6761716,39.97547238,18.64793457,4.112916667,2560.188238
12/1/17,335,30.3008658,173.8173085,37.55925325,18.83166667,3.399375,2394.075973
12/2/17,336,null,null,null,null,4.115,null
12/3/17,337,34.06902825,180.2328466,41.92337329,18.59612104,3.725,2119.88854
12/4/17,338,32.99104585,137.6246077,40.23656877,18.80192786,5.154210526,2229.033866
12/5/17,339,33.58956414,193.3500968,41.35161233,18.83213496,6.151666667,2542.741247
12/6/17,340,26.4326082,151.6960734,33.68255064,18.81684492,5.6865625,2507.701973
12/7/17,341,33.40035211,179.7872636,41.03450704,18.73030345,5.123958333,2498.744582
12/8/17,342,29.23912852,147.4092661,39.34330986,18.25431521,3.13125,2403.023818
12/9/17,343,18.03727993,115.8715007,23.47345951,0.001083374,3.897916667,0.137
12/10/17,344,14.71172481,14.1580176,15.48119274,null,6.754791667,null
12/11/17,345,13.58752648,54.26376683,15.42002119,2.500541687,6.915,131.166
12/12/17,346,12.58223921,80.48254823,16.42352624,0.001083374,3.879375,0.185083333
12/13/17,347,11.06621423,70.38649986,13.45987711,0.001083374,6.183125,0.059
12/14/17,348,26.90572183,100.7385302,26.77090669,18.36112092,6.3115625,480.5828835
12/15/17,349,34.11167312,188.5145851,36.49876847,18.73448441,6.73875,1007.282528
12/16/17,350,32.5849912,200.3888321,36.31751761,18.6758492,6.61,655.0686864
12/17/17,351,33.06764602,185.3272308,37.80058058,18.82488479,6.3775,1060.372701
12/18/17,352,32.24379838,165.3984719,37.15508445,18.79991319,4.683125,1323.549573
12/19/17,353,33.30695813,96.39302329,38.43692822,18.66799726,4.853125,1196.527205
12/20/17,354,32.62209302,167.8047575,38.52986258,18.72045661,5.546979167,1301.042142
12/21/17,355,38.76448763,205.832888,40.94545615,18.76697932,4.646153846,1576.099986
12/22/17,356,39.71596244,193.0914107,42.75007336,18.59729391,null,1856.536836
12/23/17,357,null,null,null,null,null,null
12/24/17,358,null,null,null,null,null,null
12/25/17,359,32.30302548,13.89548485,40.48980892,16.61458333,null,1243.162583
12/26/17,360,28.09680683,121.2821961,35.03316327,18.68236806,null,1496.16309
12/27/17,361,27.31254398,175.4591274,34.12596763,18.72630346,null,2071.509988
12/28/17,362,27.95091485,179.3911229,35.65200563,18.73913043,null,1952.385348
12/29/17,363,33.38899648,150.108225,41.88107394,null,null,null
12/30/17,364,29.13926678,120.9389923,36.58886926,null,null,null
12/31/17,365,26.38301397,72.37302153,33.92863539,null,null,null
1/1/18,1,13.83499794,16.26774015,19.85442387,null,2.988448276,null
1/2/18,2,22.01693077,67.06685372,27.67547906,null,3.240625,null
1/3/18,3,10.22888128,11.5985973,15.84731735,null,2.846666667,null
1/4/18,4,28.34934284,40.03333362,36.01648045,null,null,null
1/5/18,5,29.08985749,164.2094543,37.38291696,null,null,null
1/6/18,6,34.35375616,189.9586969,42.79890922,null,null,null
1/7/18,7,30.51741731,183.5998755,38.00105559,null,null,null
1/8/18,8,34.42773575,193.7154005,45.171886,null,null,null
1/9/18,9,30.13850281,198.4824298,37.99753695,null,null,null
1/10/18,10,32.69497713,153.7127236,41.24749296,0.001083374,null,0.165
1/11/18,11,34.30304363,175.6076468,42.90877903,null,null,null
1/12/18,12,30.15715165,183.291672,37.35679099,null,null,null
1/13/18,13,29.4741867,195.4050379,37.83495403,null,null,null
1/14/18,14,31.98434046,196.2072557,40.79891304,null,null,null
1/15/18,15,33.62310606,223.3619152,41.73863636,null,null,null
1/16/18,16,29.09122097,174.9554944,37.00404645,null,null,null
1/17/18,17,32.14587729,194.2946131,40.18802817,null,null,null
1/18/18,18,32.82203762,208.4543981,40.77399789,18.83879781,5.011139241,2762.679107
1/19/18,19,35.32996129,216.0610207,39.32996129,18.81108916,5.033333333,2801.99618
1/20/18,20,32.33570675,196.0345055,38.09498066,18.78309333,2.975520833,2666.698193
1/21/18,21,28.47303835,182.026756,36.4606791,18.71489295,4.9046875,2328.628003
1/22/18,22,11.76696554,14.73828079,14.84906821,0.094735405,5.674166667,4.004467186
1/23/18,23,28.76552604,203.4313376,36.19858374,5.773073802,3.734166667,796.2324502
1/24/18,24,31.06272163,108.9523992,38.96888298,5.207626602,5.1890625,741.1665645
1/25/18,25,16.75458115,41.46000491,20.58965969,0.228686305,4.253088235,8.639542857
1/26/18,26,17.27502094,1.916045031,24.95406879,null,null,null
1/27/18,27,18.86172644,49.86923589,22.9022064,13.89498385,null,1188.089162
1/28/18,28,28.38547535,176.9711357,37.19507576,18.75901145,3.964556962,2530.136517
1/29/18,29,34.66106615,187.5619415,43.38511612,18.74205333,6.698854167,2582.097763
1/30/18,30,30.76464638,159.5714917,37.40737157,18.72167266,5.429583333,2309.151349
1/31/18,31,28.77999648,200.521819,36.16687192,18.74296694,5.813645833,2491.701084
2/1/18,32,28.36228888,232.8796413,34.83233638,18.79048295,4.65375,2756.601394
2/2/18,33,35.43903941,239.9356162,43.60063336,18.76765844,5.3790625,2956.470148
2/3/18,34,33.96218265,236.0165773,42.71517983,18.811697,4.6003125,2848.564818
2/4/18,35,36.46147687,199.8383073,45.486121,18.76727514,3.9921875,2786.345527
2/5/18,36,33.84228157,248.127414,42.32831988,18.70888833,5.728645833,2852.418759
2/6/18,37,27.80286092,184.2513042,34.42103873,18.73470903,4.224895833,2349.319846
2/7/18,38,35.82849043,233.790754,45.12075071,18.74211712,4.344067797,2843.202488
2/8/18,39,32.97259852,235.0582307,41.38318086,18.71402577,4.889875,2740.119294
2/9/18,40,35.50558979,210.4856683,45.07367958,18.78785341,4.503645833,2768.836309
2/10/18,41,30.42531668,112.606807,36.89936664,18.7809375,6.8334375,2376.082368
2/11/18,42,25.47821303,70.68392777,31.2034331,7.648237444,15.634375,814.1761004
2/12/18,43,36.41678395,215.3487588,45.4533779,6.28751682,5.857708333,1014.96381
2/13/18,44,35.29581866,254.8754609,44.34753521,12.60885744,7.021458333,2026.781329
2/14/18,45,35.72082158,216.7066536,44.37773272,18.72900227,6.572291667,2536.2041
2/15/18,46,32.71563604,218.0984348,40.13657244,18.78705562,5.433157895,2640.812566
2/16/18,47,40.94542877,249.3324142,50.18905032,18.80889977,5.736145833,2980.129968
2/17/18,48,37.94557459,256.4137724,46.98545682,18.8407173,4.445208333,3097.509371
2/18/18,49,36.6427683,251.8378265,44.66331792,18.84529873,4.486770833,3166.955991
2/19/18,50,37.33374734,198.3747008,43.9810149,18.87527056,5.560961538,3088.595557
2/20/18,51,37.98249472,202.880985,47.37227305,18.83436795,7.158974359,2946.436837
2/21/18,52,35.89875088,174.0002867,43.89013019,18.74968352,3.714791667,2682.356493
2/22/18,53,34.65096831,127.3997309,41.72508803,18.82967203,3.988541667,2642.677651
2/23/18,54,32.32195637,135.9037748,38.9086031,18.75397074,8.4584375,2574.307238
2/24/18,55,35.19924349,112.2919585,43.04090429,18.84906639,6.609270833,3081.805952
2/25/18,56,36.95704225,72.29793924,45.6693662,18.81657771,7.3315625,3161.409945
2/26/18,57,41.13933849,69.86390524,46.42698804,18.84106956,6.538125,3218.915117
2/27/18,58,39.09846072,144.4730216,45.67860934,18.8484375,3.971875,2588.214653
2/28/18,59,39.8117284,160.3121516,48.17825342,18.73788322,6.376,2883.011693
3/1/18,60,null,null,null,null,null,null
3/2/18,61,null,null,null,null,null,null
3/3/18,62,null,null,null,null,null,null
3/4/18,63,43.42141623,252.2884871,53.26950431,18.8724605,5.17027027,3464.536799
3/5/18,64,38.74515845,235.0130969,47.16109155,18.86124727,6.223506494,3399.589754
3/6/18,65,40.79401408,255.6302147,49.41742958,18.85244318,5.017604167,3119.616745
3/7/18,66,40.01179577,247.8282421,48.14586268,18.9082397,6.25125,3240.904845
3/8/18,67,37.39029655,242.9521544,44.68140015,18.875,6.363229167,3175.456383
3/9/18,68,null,null,null,null,6.613125,null
3/10/18,69,null,null,null,null,5.520625,null
3/11/18,70,39.36811626,335.940755,47.30371179,18.88502506,5.357831325,3304.145276
3/12/18,71,44.58661972,272.7798294,53.37658451,18.92,5.544270833,3302.079768
